season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,pred_cnt
4,0,9,0,4,1,1,0.616667,0.699167,0.17288299999999998,4839,4756.06
3,0,9,0,4,1,3,0.6339130000000001,0.939565,0.192748,1842,3329.41
3,0,7,0,0,0,2,0.716667,0.6825,0.228858,4649,4092.02
1,1,1,0,5,1,2,0.425,0.74125,0.342667,3456,5099.025
4,1,11,0,4,1,1,0.28087,0.555652,0.115522,5323,5095.235
2,1,6,0,6,0,1,0.631667,0.504167,0.166667,7702,7738.37
2,1,6,0,3,1,1,0.7825,0.592083,0.11381199999999998,6211,6538.97
2,0,5,0,2,1,1,0.775,0.636667,0.111329,3982,4467.84
1,1,1,0,5,1,2,0.2175,0.45,0.20275,3163,3167.395
1,1,2,0,4,1,2,0.399167,0.672917,0.187187,3761,3910.465
4,0,11,0,3,1,1,0.4,0.758333,0.06219580000000001,4109,3938.255
3,1,7,0,0,0,1,0.815833,0.51875,0.16852899999999998,5531,6028.95
3,1,7,0,1,1,1,0.781667,0.447083,0.195267,6227,6620.305
3,1,9,0,4,1,1,0.6125,0.637083,0.08272080000000001,7804,7772.6
2,1,3,0,5,1,2,0.37,0.580833,0.138067,5459,4457.03
3,1,7,0,2,1,1,0.750833,0.655,0.211454,7592,6679.805
3,1,8,0,3,1,1,0.706667,0.619583,0.169771,7347,7448.905
2,0,4,0,3,1,2,0.4125,0.819167,0.25061700000000003,2162,2538.455
2,1,3,0,5,1,2,0.601667,0.694167,0.1163,8362,6675.625
3,0,6,0,0,0,1,0.68,0.513333,0.09453330000000001,5305,4990.595
2,0,3,0,6,0,1,0.265833,0.394167,0.209571,2496,2024.65
1,0,2,0,0,0,1,0.343478,0.68,0.125248,2402,2292.36
4,1,10,0,6,0,1,0.484167,0.572917,0.11753699999999999,8090,7919.665
2,0,4,0,6,0,3,0.43083299999999997,0.888333,0.340808,795,2451.59
4,0,10,0,5,1,1,0.4275,0.574167,0.221396,4304,3608.74
2,0,4,0,3,1,2,0.62,0.835417,0.3122,3872,3917.43
3,0,8,0,0,0,1,0.7425,0.7529170000000001,0.201487,3785,4316.205
2,0,6,0,0,0,2,0.699167,0.666667,0.102,4744,4503.015
3,1,8,0,4,1,1,0.706667,0.590417,0.0771167,7713,7571.595
3,1,7,0,3,1,1,0.716667,0.633333,0.15173299999999998,7264,7087.05
1,1,2,0,1,1,1,0.282609,0.622174,0.1538,3784,3635.14
1,0,2,0,2,1,1,0.26608699999999996,0.314348,0.29137399999999997,1815,1908.525
1,1,1,0,5,1,1,0.274167,0.5075,0.378108,3214,3010.645
1,1,2,0,0,0,1,0.279167,0.41,0.205229,3389,3054.305
1,0,1,0,6,0,2,0.23333299999999998,0.49875,0.15796300000000002,1248,1515.65
3,1,7,0,0,0,2,0.6675,0.7625,0.09392080000000001,7410,6589.615
2,1,5,1,1,0,1,0.7125,0.67625,0.196521,6043,6505.185
2,1,4,0,2,1,1,0.608333,0.390417,0.273629,6691,6635.015
4,1,12,0,3,1,1,0.438333,0.485,0.324021,5729,7266.75
2,1,4,0,6,0,2,0.37666700000000003,0.489583,0.129975,4220,4758.635
4,0,11,0,3,1,1,0.325,0.613333,0.271158,3613,3365.75
3,0,9,0,0,0,1,0.5075,0.695,0.178483,4274,4504.815
4,1,11,0,3,1,1,0.296667,0.50625,0.210821,5260,5302.295
1,0,2,0,5,1,1,0.189091,0.506364,0.10855,1746,1473.545
3,1,7,0,1,1,1,0.730833,0.66875,0.153617,7105,6715.785
3,1,8,0,2,1,2,0.735833,0.70375,0.116908,7273,6815.825
4,0,11,0,2,1,1,0.400833,0.68375,0.135571,4068,3704.39
3,1,9,0,1,1,1,0.583333,0.50375,0.258713,7525,7526.91
3,1,8,0,0,0,1,0.769167,0.6525,0.290421,5464,6647.185
2,0,5,0,4,1,1,0.459167,0.44416700000000003,0.295392,4433,4095.975
2,1,4,0,5,1,1,0.403333,0.377083,0.300388,6460,5342.24
1,0,3,0,5,1,2,0.261667,0.610417,0.203346,1944,1940.355
2,0,5,0,2,1,2,0.616667,0.697083,0.342667,4451,3599.3
4,0,12,0,1,1,1,0.276667,0.6375,0.172896,3403,3150.15
3,0,9,0,5,1,2,0.469167,0.590417,0.164183,4760,3879.18
1,1,1,0,2,1,1,0.15,0.44125,0.365671,2236,2848.5
2,0,4,0,6,0,1,0.4725,0.503333,0.235075,5312,3875.915
2,0,5,0,0,0,2,0.451667,0.762083,0.10635399999999999,3351,3724.04
2,0,5,0,5,1,1,0.681667,0.65375,0.240679,4679,4710.75
4,0,10,0,1,1,1,0.463333,0.772083,0.11879200000000001,4187,3639.58
3,0,7,0,5,1,1,0.663333,0.59125,0.182833,5538,5064.62
3,0,9,0,2,1,1,0.650833,0.7125,0.14180399999999999,4763,4767.325
1,1,2,0,1,1,1,0.366667,0.490833,0.26803299999999997,4322,4333.17
2,1,4,0,5,1,1,0.526667,0.694583,0.149871,7290,6430.19
1,1,1,0,4,1,1,0.265833,0.524167,0.129987,3272,3065.125
3,1,9,0,2,1,2,0.623333,0.8725,0.357587,4073,5222.53
2,1,4,0,6,0,1,0.57,0.682917,0.283587,6624,6426.59
1,1,1,0,0,0,1,0.2825,0.31125,0.24005,3243,3374.62
2,1,5,0,4,1,1,0.593333,0.52,0.229475,7384,7232.82
3,1,7,0,2,1,2,0.720833,0.6675,0.15173699999999998,6290,6735.49
4,1,10,0,4,1,2,0.6575,0.722917,0.117546,7328,7302.07
4,1,10,0,6,0,1,0.554167,0.664167,0.268025,7965,7994.895
1,0,3,0,6,0,2,0.384167,0.789167,0.251871,2077,2332.815
2,0,5,0,0,0,1,0.6675,0.81875,0.21393800000000002,4788,4153.35
1,1,1,0,6,0,2,0.173333,0.83125,0.222642,1301,2122.355
2,0,6,0,0,0,2,0.648333,0.6525,0.138692,4906,4331.625
1,0,1,0,0,0,2,0.363478,0.696087,0.24853899999999998,801,1903.725
3,1,8,0,0,0,2,0.635833,0.711667,0.08645,4549,6687.395
1,0,12,0,6,0,1,0.41,0.615833,0.220154,2485,2658.59
1,0,1,0,6,0,2,0.344167,0.805833,0.160446,985,2160.9
2,0,4,0,2,1,2,0.5025,0.739167,0.274879,2034,3894.345
3,1,8,0,2,1,1,0.726667,0.686667,0.169158,6784,6963.205
1,1,2,0,6,0,3,0.224167,0.73125,0.289796,2169,2050.97
2,1,6,0,1,1,1,0.5975,0.487083,0.284833,6998,7350.575
4,0,10,0,3,1,2,0.484167,0.720417,0.148642,3894,4196.435
4,0,11,0,6,0,1,0.326667,0.519167,0.18906199999999998,3926,3519.76
3,1,8,0,4,1,1,0.755833,0.620417,0.1561,7286,7104.17
4,1,12,0,6,0,2,0.38166700000000003,0.91125,0.101379,5582,4329.57
2,1,6,0,5,1,1,0.649167,0.467917,0.17538299999999998,7736,7438.64
1,1,2,0,4,1,1,0.265,0.562083,0.194037,3830,3316.92
2,0,3,0,0,0,2,0.25304299999999996,0.493913,0.1843,1693,1834.07
3,0,8,0,2,1,1,0.783333,0.49125,0.20585,4845,4603.98
2,1,6,0,1,1,2,0.568333,0.777917,0.174746,5099,5897.055
4,1,11,0,5,1,1,0.298333,0.649583,0.05847080000000001,5668,5375.025
4,0,10,0,4,1,2,0.47,0.812917,0.19776300000000002,2659,3850.685
3,1,9,0,4,1,2,0.696667,0.810417,0.142421,6203,6306.73
4,0,12,0,2,1,2,0.385833,0.595417,0.06157080000000001,3750,3727.415
3,1,8,0,6,0,1,0.678333,0.603333,0.177867,7865,7701.95
1,0,2,0,5,1,2,0.364348,0.712174,0.346539,1461,2015.255
1,0,3,0,4,1,1,0.19833299999999998,0.318333,0.225754,1685,1646.755
1,0,2,0,5,1,1,0.521667,0.516667,0.264925,2927,3670.1
2,0,4,0,5,1,1,0.51,0.457083,0.240063,4595,4210.64
1,1,3,0,0,0,1,0.361739,0.47695699999999996,0.22258699999999998,4911,4196.49
4,0,12,0,0,0,1,0.220833,0.49,0.0665417,2743,2897.505
2,1,5,0,0,0,1,0.69,0.697083,0.215171,6591,6436.36
4,1,11,0,3,1,2,0.295833,0.5475,0.304108,5035,4989.1
4,0,12,0,2,1,1,0.2825,0.59,0.14055,3523,3297.595
3,0,7,0,5,1,1,0.848333,0.580417,0.1331,3387,3913.37
1,1,1,0,1,1,1,0.269167,0.400833,0.215792,3624,3220.74
3,0,7,0,0,0,1,0.83,0.550833,0.16917100000000002,3606,3930.37
3,0,8,0,6,0,2,0.716667,0.755,0.22825,4294,4181.935
3,1,9,0,3,1,1,0.599167,0.577083,0.131846,7870,7573.77
3,0,8,0,3,1,1,0.656667,0.597917,0.08333330000000001,5058,5061.375
4,0,10,0,1,1,1,0.5341670000000001,0.579583,0.175379,4570,4646.15
2,1,4,0,1,1,1,0.433913,0.5043479999999999,0.312139,5936,5930.39
3,0,9,0,3,1,1,0.673333,0.697083,0.1673,4785,4781.13
3,1,7,0,2,1,1,0.713333,0.704167,0.165425,7216,6560.03
4,1,10,0,3,1,1,0.514167,0.630833,0.18782100000000002,7691,7535.965
3,1,9,0,5,1,1,0.599167,0.66875,0.154229,8167,7623.705
1,0,1,0,3,1,1,0.172727,0.599545,0.304627,1162,1432.12
2,1,4,0,3,1,1,0.476667,0.427917,0.11879200000000001,6196,6318.8
2,1,6,0,5,1,1,0.639167,0.589583,0.176617,7665,7151.515
3,1,6,0,4,1,1,0.749167,0.4225,0.17165,6879,7108.635
2,1,6,0,5,1,2,0.654167,0.755417,0.23756300000000002,4127,6518.745
4,1,9,0,0,0,1,0.529167,0.46708299999999997,0.22325799999999998,7907,7565.32
4,0,11,0,3,1,2,0.440833,0.757917,0.335825,2566,3143.075
4,0,11,0,1,1,1,0.395,0.75875,0.057225,4035,3851.265
4,0,10,0,5,1,1,0.510833,0.684167,0.0223917,4985,4883.53
3,1,8,0,1,1,2,0.7525,0.654167,0.129354,7013,6873.465
3,0,6,0,1,1,2,0.6825,0.658333,0.10758800000000002,4708,4406.675
2,1,6,0,6,0,1,0.710833,0.437083,0.144287,7498,7530.925
1,1,3,0,0,0,1,0.325833,0.403333,0.334571,3423,3881.58
2,1,6,0,3,1,1,0.554167,0.61125,0.077125,7055,7389.81
1,0,3,0,6,0,1,0.4725,0.37916700000000003,0.368167,3117,3571.07
1,0,2,0,2,1,1,0.182222,0.577778,0.195683,1450,1533.56
4,1,10,0,2,1,3,0.5908329999999999,0.871667,0.104475,4639,5704.26
4,1,10,0,6,0,2,0.53,0.72,0.235692,7852,7167.42
2,1,5,0,2,1,2,0.611667,0.794583,0.147392,5115,5635.845
4,1,10,0,1,1,3,0.44,0.88,0.3582,22,4904.195
2,0,5,0,6,0,1,0.655833,0.729583,0.23009200000000002,4758,4790.835
2,1,5,0,3,1,2,0.575,0.744167,0.216412,4717,6154.445
2,1,6,0,2,1,1,0.688333,0.69,0.148017,6825,6822.545
1,0,3,0,0,0,2,0.37652199999999997,0.948261,0.343287,605,1972.08
4,0,11,0,2,1,2,0.458333,0.830833,0.258092,2914,3399.425
4,0,12,0,4,1,1,0.3125,0.524583,0.220158,3727,3399.92
2,1,5,0,2,1,1,0.7225,0.6845829999999999,0.2954,5743,6327.285
4,0,11,0,5,1,2,0.403333,0.6225,0.271779,4046,3354.645
1,1,1,0,3,1,2,0.1075,0.414583,0.1847,2368,3100.21
1,1,3,0,6,0,1,0.2875,0.35041700000000003,0.22575,4118,3800.785
1,1,2,0,3,1,1,0.469167,0.507917,0.189067,4579,5340.485
1,1,3,0,2,1,1,0.560833,0.807917,0.121271,6093,6053.235
2,1,4,1,1,0,1,0.664167,0.561667,0.284829,6370,6579.565
4,0,10,0,2,1,2,0.5325,0.701667,0.11008699999999999,4748,4394.475
4,0,11,0,2,1,2,0.53,0.68875,0.199633,4195,4033.86
1,0,12,0,3,1,1,0.29913,0.503913,0.29396100000000003,2302,1774.245
1,1,3,0,1,1,1,0.545,0.72875,0.16231700000000002,6153,6079.43
3,1,8,0,2,1,1,0.728333,0.62,0.190925,7040,7078.445
2,0,3,0,2,1,1,0.44166700000000003,0.624583,0.22575,2703,3013.69
4,0,10,0,6,0,1,0.521667,0.70125,0.0454042,5409,5028.61
4,1,10,0,0,0,1,0.464167,0.51,0.166054,6824,7324.33
3,0,7,0,6,0,1,0.804167,0.465833,0.168537,4475,4580.41
1,1,2,0,3,1,2,0.344348,0.804783,0.179117,1834,3654.4
1,1,1,0,6,0,1,0.18,0.4575,0.187183,2493,2832.56
1,0,1,0,0,0,1,0.13833299999999998,0.434167,0.36195,822,1069.795
3,0,7,0,2,1,1,0.776667,0.650417,0.1306,4541,4364.555
1,0,1,0,0,0,1,0.231667,0.48375,0.188433,1204,1502.235
3,0,8,0,3,1,1,0.723333,0.575417,0.14366700000000002,4694,4802.53
4,0,9,0,0,0,2,0.634167,0.845,0.0503792,5010,4813.485
2,0,4,0,2,1,1,0.631667,0.729167,0.3265,4400,3947.875
3,0,9,0,5,1,2,0.643333,0.727083,0.139929,4727,4220.03
3,0,7,0,0,0,1,0.719167,0.604167,0.245033,5302,4551.645
1,0,1,0,1,1,1,0.0973913,0.49173900000000004,0.15833,1416,1373.74
1,1,1,0,0,0,1,0.37,0.6925,0.192167,2294,3836.43
3,1,7,0,6,0,3,0.595833,0.865417,0.2133,4459,5029.815
1,0,3,0,2,1,1,0.2925,0.420833,0.12065,2133,2116.535
2,1,6,0,2,1,2,0.6533329999999999,0.833333,0.21454600000000001,4972,4815.705
2,0,4,0,2,1,2,0.505833,0.665833,0.157971,3204,3858.885
1,1,1,0,1,1,2,0.218333,0.91125,0.11070799999999999,2432,2144.88
2,1,3,0,2,1,1,0.323333,0.29,0.187192,5102,4650.595
1,0,3,0,0,0,1,0.384348,0.5273909999999999,0.270604,2417,2406.885
3,1,7,0,1,1,1,0.741667,0.694167,0.138683,6966,6699.68
2,0,3,0,4,1,3,0.268333,0.918333,0.217646,1685,1538.015
3,1,6,0,4,1,1,0.805833,0.567917,0.11878699999999999,5905,6241.93
3,1,8,0,6,0,2,0.661667,0.712917,0.244408,6053,6562.53
4,0,12,0,5,1,2,0.375,0.500417,0.260575,3577,3199.26
1,0,2,0,0,0,1,0.285217,0.407826,0.223235,1812,1740.27
4,1,11,0,1,1,1,0.313333,0.535417,0.04665,5087,4389.35
4,0,12,0,5,1,1,0.31416700000000003,0.625833,0.100754,3940,3473.68
1,0,12,0,2,1,2,0.325,0.7625,0.18845,1162,1966.51
1,1,1,0,2,1,2,0.37304299999999996,0.716087,0.34913,2935,3722.32
4,1,10,0,6,0,1,0.393333,0.494583,0.146142,7109,5072.6
2,0,6,0,6,0,1,0.635,0.45625,0.123142,5342,5396.94
1,0,1,0,6,0,1,0.0591304,0.4,0.17197,981,1142.385
1,1,1,0,0,0,1,0.3375,0.465,0.19154200000000002,3425,3898.27
2,1,5,0,3,1,2,0.621667,0.774583,0.102,5260,6754.335
4,1,9,0,4,1,2,0.65,0.690833,0.13434200000000002,7393,7397.785
3,0,8,0,0,0,2,0.676667,0.8175,0.222633,3820,3944.01
1,0,1,0,3,1,1,0.22695700000000002,0.436957,0.1869,1600,1770.025
2,0,5,0,3,1,1,0.5425,0.632917,0.12064200000000001,4182,4884.47
1,1,1,0,4,1,2,0.341667,0.769583,0.07339580000000001,4075,3663.25
3,1,7,1,3,0,1,0.789167,0.53875,0.13495,7403,6129.4
4,1,12,0,4,1,2,0.33,0.667917,0.132463,4128,5075.425
1,0,12,0,4,1,1,0.248333,0.574167,0.11941199999999999,2423,1950.005
1,1,12,0,1,1,2,0.231304,0.791304,0.07723039999999999,920,1896.365
2,1,4,0,1,1,2,0.464167,0.57,0.171638,5572,5010.585
2,1,4,0,6,0,1,0.495,0.5029170000000001,0.190917,7460,6013.21
4,1,12,0,4,1,1,0.255833,0.50875,0.174754,5375,3290.555
3,1,9,0,6,0,2,0.6591670000000001,0.799167,0.281104,5976,6264.19
2,1,4,0,5,1,1,0.4575,0.400833,0.34763299999999997,6233,6098.2
3,1,6,0,0,0,1,0.743333,0.479167,0.145525,6891,6872.59
3,0,9,0,3,1,3,0.599167,0.917083,0.0970208,1996,3488.095
4,0,12,0,2,1,3,0.4625,0.949583,0.23258299999999998,2594,2405.54
1,0,1,0,4,1,1,0.204348,0.518261,0.0895652,1606,1383.12
1,0,2,0,1,1,1,0.271667,0.738333,0.045408300000000006,1712,1702.585
3,1,7,0,3,1,1,0.724167,0.45,0.1648,8173,7245.445
4,0,12,0,6,0,1,0.275,0.5075,0.233221,3190,3194.605
